+----------+--------------------------+--------------+------------------+-----------------+------------------+-----------------+--------------------------+---------------------------------------------------------------+-------------------------------------------------------------------------+
| Position |           Name           |    Price     | 24h price change | 7d price change |    Market cap    |    Volume 24h   |    Circulating suply     |                              Logo                             |                              7d price graph                             |
|    64    |          Stacks          |    $1.06     |      -7.01%      |     -13.77%     |  $1,385,559,411  |   $55,234,700   |    1,309,761,119 STX     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4847.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4847.svg |
|    65    |         TrueUSD          |   $0.9999    |      -0.00%      |      +0.02%     |  $1,355,916,201  |   $128,930,658  |    1,356,014,639 TUSD    |  https://s2.coinmarketcap.com/static/img/coins/64x64/2563.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2563.svg |
|    66    |           Neo            |    $18.97    |      -9.05%      |      -5.26%     |  $1,338,430,852  |   $111,147,824  |      70,538,831 NEO      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1376.svg |
|    67    |          Kusama          |   $152.94    |      -5.54%      |      -2.50%     |  $1,295,404,925  |   $83,109,331   |      8,470,098 KSM       |  https://s2.coinmarketcap.com/static/img/coins/64x64/5034.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5034.svg |
|    68    |         Harmony          |   $0.1056    |      -8.93%      |      -6.66%     |  $1,262,179,892  |   $53,769,423   |    11,956,410,299 ONE    |  https://s2.coinmarketcap.com/static/img/coins/64x64/3945.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3945.svg |
|    69    |          Quant           |   $103.40    |      -5.28%      |      -2.84%     |  $1,248,305,146  |   $51,194,405   |      12,072,738 QNT      |  https://s2.coinmarketcap.com/static/img/coins/64x64/3155.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3155.svg |
|    70    |         Zilliqa          |   $0.0977    |     -12.30%      |      -4.27%     |  $1,240,524,217  |   $435,732,561  |    12,696,821,509 ZIL    |  https://s2.coinmarketcap.com/static/img/coins/64x64/2469.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2469.svg |
|    71    |           Gala           |    $0.174    |      -7.89%      |      -6.10%     |  $1,214,328,826  |   $314,051,372  |    6,977,205,436 GALA    |  https://s2.coinmarketcap.com/static/img/coins/64x64/7080.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7080.svg |
|    72    |           Nexo           |    $2.15     |      -6.57%      |      -2.39%     |  $1,204,455,253  |   $13,059,735   |     560,000,011 NEXO     |  https://s2.coinmarketcap.com/static/img/coins/64x64/2694.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2694.svg |
|    73    |           Celo           |    $2.76     |      -7.22%      |      -5.04%     |  $1,196,234,168  |   $84,053,675   |     433,213,075 CELO     |  https://s2.coinmarketcap.com/static/img/coins/64x64/5567.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5567.svg |
|    74    |          Chiliz          |   $0.1956    |      -9.94%      |      -8.09%     |  $1,173,941,764  |   $147,664,906  |    6,000,378,907 CHZ     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4066.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4066.svg |
|    75    |           OKB            |    $19.52    |      -2.49%      |      +2.19%     |  $1,170,988,659  |   $144,924,408  |      60,000,000 OKB      |  https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3897.svg |
|    76    |     Curve DAO Token      |    $2.53     |      -4.87%      |     +21.42%     |  $1,167,162,263  |   $319,096,744  |     460,688,586 CRV      |  https://s2.coinmarketcap.com/static/img/coins/64x64/6538.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6538.svg |
|    77    |        Enjin Coin        |    $1.30     |      -7.83%      |      -5.46%     |  $1,146,271,025  |   $140,656,762  |     881,914,706 ENJ      |  https://s2.coinmarketcap.com/static/img/coins/64x64/2130.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2130.svg |
|    78    |         Loopring         |   $0.8479    |      -9.37%      |      +1.57%     |  $1,127,504,691  |   $122,807,108  |    1,329,714,437 LRC     |  https://s2.coinmarketcap.com/static/img/coins/64x64/1934.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1934.svg |
|    79    |  Basic Attention Token   |   $0.6839    |      -6.91%      |      -5.80%     |  $1,024,267,519  |   $88,018,133   |    1,497,584,822 BAT     |  https://s2.coinmarketcap.com/static/img/coins/64x64/1697.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1697.svg |
|    80    |           Dash           |    $94.92    |      -6.76%      |      -7.66%     |  $1,014,765,056  |   $178,867,264  |     10,690,494 DASH      |  https://s2.coinmarketcap.com/static/img/coins/64x64/131.png  |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/131.svg  |
|    81    |           Mina           |    $2.05     |      -9.80%      |      -7.99%     |   $970,626,817   |   $50,197,392   |     474,199,268 MINA     |  https://s2.coinmarketcap.com/static/img/coins/64x64/8646.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8646.svg |
|    82    |        Pax Dollar        |    $1.00     |      +0.28%      |      +0.14%     |   $948,964,829   |   $10,423,672   |     945,642,940 USDP     |  https://s2.coinmarketcap.com/static/img/coins/64x64/3330.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3330.svg |
|    83    |           Amp            |   $0.02229   |      +1.86%      |      +5.78%     |   $941,353,332   |   $23,060,069   |    42,227,702,186 AMP    |  https://s2.coinmarketcap.com/static/img/coins/64x64/6945.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6945.svg |
|    84    |       Neutrino USD       |   $0.9648    |      -0.74%      |      -1.91%     |   $938,599,653   |   $16,138,601   |     972,802,636 USDN     |  https://s2.coinmarketcap.com/static/img/coins/64x64/5068.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5068.svg |
|    85    |           Kava           |    $5.01     |      -1.56%      |     +20.35%     |   $897,864,325   |   $225,362,120  |     179,110,959 KAVA     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4846.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4846.svg |
|    86    | Kyber Network Crystal v2 |    $4.95     |      -1.57%      |     +22.27%     |   $879,692,092   |   $365,731,546  |     177,809,350 KNC      |  https://s2.coinmarketcap.com/static/img/coins/64x64/9444.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/9444.svg |
|    87    |         Arweave          |    $25.88    |      -9.17%      |      -8.10%     |   $864,250,507   |   $42,139,610   |      33,394,701 AR       |  https://s2.coinmarketcap.com/static/img/coins/64x64/5632.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5632.svg |
|    88    |          Decred          |    $60.71    |      -7.93%      |      -9.95%     |   $847,690,069   |   $10,512,587   |      13,963,869 DCR      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1168.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1168.svg |
|    89    |         Compound         |   $124.14    |      -6.29%      |      -8.28%     |   $834,304,544   |   $60,626,948   |      6,720,814 COMP      |  https://s2.coinmarketcap.com/static/img/coins/64x64/5692.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5692.svg |
|    90    |           NEM            |   $0.09221   |      -3.55%      |      -2.70%     |   $829,846,545   |   $52,186,608   |    8,999,999,999 XEM     |  https://s2.coinmarketcap.com/static/img/coins/64x64/873.png  |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/873.svg  |
