+----------+--------------------------+--------------+------------------+-----------------+------------------+-----------------+--------------------------+---------------------------------------------------------------+-------------------------------------------------------------------------+
| Position |           Name           |    Price     | 24h price change | 7d price change |    Market cap    |    Volume 24h   |    Circulating suply     |                              Logo                             |                              7d price graph                             |
|    47    |        THORChain         |    $7.43     |      -8.91%      |      +0.57%     |  $2,455,394,073  |   $132,489,542  |     330,688,061 RUNE     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4157.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4157.svg |
|    48    |           EOS            |    $2.25     |      -7.50%      |      -3.70%     |  $2,219,441,703  |   $366,254,817  |     987,791,576 EOS      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1765.svg |
|    49    |           Aave           |   $155.51    |     -10.03%      |      -2.81%     |  $2,128,062,007  |   $216,109,542  |     13,684,446 AAVE      |  https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7278.svg |
|    50    |          Zcash           |   $148.83    |      -3.89%      |      +9.11%     |  $2,119,829,834  |   $252,782,285  |      14,243,763 ZEC      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1437.svg |
|    51    |          STEPN           |    $3.23     |      +0.93%      |     +42.47%     |  $1,939,388,045  |  $1,951,612,027 |     600,000,000 GMT      | https://s2.coinmarketcap.com/static/img/coins/64x64/18069.png | https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/18069.svg |
|    52    |          Helium          |    $16.35    |      -7.21%      |     -13.12%     |  $1,900,586,405  |   $18,509,961   |     116,259,678 HNT      |  https://s2.coinmarketcap.com/static/img/coins/64x64/5665.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5665.svg |
|    53    |       KuCoin Token       |    $19.09    |      -4.91%      |      -2.64%     |  $1,877,711,378  |    $5,361,328   |      98,379,861 KCS      |  https://s2.coinmarketcap.com/static/img/coins/64x64/2087.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2087.svg |
|    54    |           Flow           |    $5.19     |      -7.12%      |      -5.06%     |  $1,874,512,090  |   $59,095,103   |     361,521,462 FLOW     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4558.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4558.svg |
|    55    |          Waves           |    $16.10    |     -11.49%      |     -15.24%     |  $1,739,979,390  |   $358,339,965  |    108,094,948 WAVES     |  https://s2.coinmarketcap.com/static/img/coins/64x64/1274.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1274.svg |
|    56    |           IOTA           |   $0.6153    |      -8.42%      |      -1.26%     |  $1,710,202,828  |   $41,196,836   |   2,779,530,283 MIOTA    |  https://s2.coinmarketcap.com/static/img/coins/64x64/1720.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1720.svg |
|    57    |      BitTorrent-New      | $0.000001774 |      -4.09%      |      -3.70%     |  $1,643,889,028  |   $117,032,589  | 926,521,428,571,000 BTT  | https://s2.coinmarketcap.com/static/img/coins/64x64/16086.png | https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/16086.svg |
|    58    |          Maker           |  $1,664.71   |      -6.05%      |      -2.39%     |  $1,627,475,768  |   $63,197,238   |       977,631 MKR        |  https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1518.svg |
|    59    |          eCash           | $0.00008408  |      -7.54%      |      -1.53%     |  $1,601,133,271  |   $26,632,730   |  19,042,129,673,313 XEC  | https://s2.coinmarketcap.com/static/img/coins/64x64/10791.png | https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/10791.svg |
|    60    |        The Graph         |   $0.3308    |      -8.39%      |      -2.35%     |  $1,559,931,419  |   $131,228,077  |    4,715,735,200 GRT     |  https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6719.svg |
|    61    |        Bitcoin SV        |    $77.33    |      -4.56%      |      -4.93%     |  $1,472,406,942  |   $97,677,286   |      19,041,664 BSV      |  https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3602.svg |
|    62    |       Huobi Token        |    $9.29     |      -1.59%      |      +0.91%     |  $1,441,733,173  |   $46,405,366   |      155,225,063 HT      |  https://s2.coinmarketcap.com/static/img/coins/64x64/2502.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2502.svg |
|    63    |      Convex Finance      |    $24.33    |      -5.55%      |      -4.40%     |  $1,421,145,210  |   $14,233,599   |      58,420,288 CVX      |  https://s2.coinmarketcap.com/static/img/coins/64x64/9903.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/9903.svg |
|    64    |          Stacks          |    $1.05     |      -7.13%      |     -15.59%     |  $1,375,767,877  |   $54,792,649   |    1,309,761,119 STX     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4847.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4847.svg |
|    65    |         TrueUSD          |   $0.9999    |      +0.01%      |      +0.03%     |  $1,355,867,392  |   $114,373,610  |    1,356,014,639 TUSD    |  https://s2.coinmarketcap.com/static/img/coins/64x64/2563.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2563.svg |
|    66    |           Neo            |    $18.90    |      -9.41%      |      -5.74%     |  $1,332,849,881  |   $108,015,637  |      70,538,831 NEO      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1376.svg |
|    67    |          Kusama          |   $151.66    |      -6.53%      |      -3.37%     |  $1,284,583,602  |   $80,236,938   |      8,470,098 KSM       |  https://s2.coinmarketcap.com/static/img/coins/64x64/5034.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5034.svg |
|    68    |         Harmony          |   $0.1045    |      -9.87%      |      -7.35%     |  $1,248,917,988  |   $50,884,970   |    11,956,410,299 ONE    |  https://s2.coinmarketcap.com/static/img/coins/64x64/3945.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3945.svg |
|    69    |          Quant           |   $103.26    |      -4.02%      |      -3.45%     |  $1,246,657,106  |   $51,639,203   |      12,072,738 QNT      |  https://s2.coinmarketcap.com/static/img/coins/64x64/3155.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3155.svg |
|    70    |         Zilliqa          |   $0.09772   |     -12.83%      |      -4.50%     |  $1,240,784,266  |   $421,864,024  |    12,696,821,509 ZIL    |  https://s2.coinmarketcap.com/static/img/coins/64x64/2469.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2469.svg |
|    71    |           Nexo           |    $2.17     |      -5.47%      |      -2.26%     |  $1,216,935,077  |   $11,275,401   |     560,000,011 NEXO     |  https://s2.coinmarketcap.com/static/img/coins/64x64/2694.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2694.svg |
|    72    |           Gala           |   $0.1731    |      -8.27%      |      -6.44%     |  $1,207,773,530  |   $304,541,369  |    6,977,205,436 GALA    |  https://s2.coinmarketcap.com/static/img/coins/64x64/7080.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7080.svg |
|    73    |           Celo           |    $2.74     |      -8.42%      |      -5.82%     |  $1,186,144,768  |   $81,787,611   |     433,213,075 CELO     |  https://s2.coinmarketcap.com/static/img/coins/64x64/5567.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5567.svg |
|    74    |          Chiliz          |   $0.1969    |      -9.31%      |      -7.88%     |  $1,181,583,219  |   $141,688,640  |    6,000,378,907 CHZ     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4066.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4066.svg |
|    75    |           OKB            |    $19.36    |      -3.20%      |      +0.83%     |  $1,161,451,964  |   $147,041,109  |      60,000,000 OKB      |  https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3897.svg |
|    76    |     Curve DAO Token      |    $2.50     |      -5.89%      |     +20.18%     |  $1,152,803,824  |   $313,343,235  |     460,688,586 CRV      |  https://s2.coinmarketcap.com/static/img/coins/64x64/6538.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6538.svg |
